Date,Song,Artist,Rank,Peak Position,Weeks in Charts,Week
2023-01-04,All I Want For Christmas Is You,Mariah Carey,1,1,58,1
2023-01-04,Rockin' Around The Christmas Tree,Brenda Lee,2,2,52,1
2023-01-04,Jingle Bell Rock,Bobby Helms,3,3,49,1
2023-01-04,Last Christmas,Wham!,4,4,31,1
2023-01-04,A Holly Jolly Christmas,Burl Ives,5,4,32,1
2023-01-04,It's The Most Wonderful Time Of The Year,Andy Williams,6,5,33,1
2023-01-04,Feliz Navidad,Jose Feliciano,7,6,26,1
2023-01-04,Anti-Hero,Taylor Swift,8,1,10,1
2023-01-04,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",9,9,38,1
2023-01-04,Unholy,Sam Smith & Kim Petras,10,1,14,1
2023-01-04,Kill Bill,SZA,11,3,3,1
2023-01-04,Santa Tell Me,Ariana Grande,12,12,18,1
2023-01-04,Sleigh Ride,The Ronettes,13,10,22,1
2023-01-04,Underneath The Tree,Kelly Clarkson,14,12,21,1
2023-01-04,Christmas (Baby Please Come Home),Darlene Love,15,15,17,1
2023-01-04,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,16,12,30,1
2023-01-04,Deck The Halls,Nat King Cole,17,16,8,1
2023-01-04,Let It Snow; Let It Snow; Let It Snow!,Dean Martin,18,8,25,1
2023-01-04,I'm Good (Blue),David Guetta & Bebe Rexha,19,7,18,1
2023-01-04,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,20,20,9,1
2023-01-04,Rich Flex,Drake & 21 Savage,21,2,8,1
2023-01-04,Creepin',Metro Boomin| The Weeknd & 21 Savage,22,5,4,1
2023-01-04,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,23,12,18,1
2023-01-04,Blue Christmas,Elvis Presley,24,24,8,1
2023-01-04,It's Beginning To Look A Lot Like Christmas,Michael Buble,25,20,15,1
2023-01-04,Die For You,The Weeknd & Ariana Grande,26,12,22,1
2023-01-04,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,27,25,15,1
2023-01-04,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,28,16,22,1
2023-01-04,Little Saint Nick,The Beach Boys,29,29,4,1
2023-01-04,Bad Habit,Steve Lacy,30,1,26,1
2023-01-04,As It Was,Harry Styles,31,1,39,1
2023-01-04,Run Rudolph Run,Chuck Berry,32,10,17,1
2023-01-04,Wonderful Christmastime,Paul McCartney,33,28,8,1
2023-01-04,Santa Claus Is Comin' To Town,Jackson 5,34,33,6,1
2023-01-04,You're A Mean One; Mr. Grinch,Thurl Ravenscroft,35,31,7,1
2023-01-04,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,36,35,5,1
2023-01-04,This Christmas,Donny Hathaway,37,37,3,1
2023-01-04,Cuff It,Beyonce,38,13,20,1
2023-01-04,Under The Influence,Chris Brown,39,14,16,1
2023-01-04,Happy Holiday / The Holiday Season,Andy Williams,40,18,15,1
2023-01-04,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,41,13,-,1
2023-01-04,Something In The Orange,Zach Bryan,42,12,36,1
2023-01-04,Please Come Home For Christmas,Eagles,43,18,12,1
2023-01-04,Merry Christmas,Ed Sheeran & Elton John,44,42,6,1
2023-01-04,Made You Look,Meghan Trainor,45,24,10,1
2023-01-04,You Proof,Morgan Wallen,46,5,33,1
2023-01-04,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,47,38,4,1
2023-01-04,Have Yourself A Merry Little Christmas,Michael Buble,48,3,-,1
2023-01-04,Golden Hour,JVKE,49,35,18,1
2023-01-04,Christmastime Is Here,Vince Guaraldi Trio,50,3,-,1
2023-01-04,Super Freaky Girl,Nicki Minaj,51,1,20,1
2023-01-04,Shirt,SZA,52,11,9,1
2023-01-04,Just Wanna Rock,Lil Uzi Vert,53,21,11,1
2023-01-04,Tomorrow 2,GloRilla & Cardi B,54,9,14,1
2023-01-04,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,55,8,4,1
2023-01-04,Thank God,Kane Brown With Katelyn Brown,56,22,16,1
2023-01-04,Lift Me Up,Rihanna,57,2,9,1
2023-01-04,Until I Found You,Stephen Sanchez,58,38,26,1
2023-01-04,Nobody Gets Me,SZA,59,10,3,1
2023-01-04,Someday At Christmas,Lizzo,60,59,5,1
2023-01-04,Rock And A Hard Place,Bailey Zimmerman,61,24,29,1
2023-01-04,Gato de Noche,Nengo Flow & Bad Bunny,62,1,-,1
2023-01-04,Victoria's Secret,Jax,63,35,22,1
2023-01-04,Lavender Haze,Taylor Swift,64,2,10,1
2023-01-04,Low,SZA,65,17,3,1
2023-01-04,Son Of A Sinner,Jelly Roll,66,31,26,1
2023-01-04,Blind,SZA,67,12,3,1
2023-01-04,What My World Spins Around,Jordan Davis,68,41,20,1
2023-01-04,Wait In The Truck,HARDY Featuring Lainey Wilson,69,51,17,1
2023-01-04,Going; Going; Gone,Luke Combs,70,70,7,1
2023-01-04,Heart Like A Truck,Lainey Wilson,71,71,7,1
2023-01-04,Last Christmas,Lauren Spencer Smith,72,72,5,1
2023-01-04,Blue Christmas,Kane Brown,73,73,4,1
2023-01-04,Snooze,SZA,74,29,3,1
2023-01-04,Escapism,RAYE Featuring 070 Shake,75,72,4,1
2023-01-04,Santa; Can't You Hear Me,Kelly Clarkson & Ariana Grande,76,76,4,1
2023-01-04,Love Language,SZA,77,21,3,1
2023-01-04,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,78,32,14,1
2023-01-04,Calm Down,Rema & Selena Gomez,79,74,17,1
2023-01-04,Whiskey On You,Nate Smith,80,44,28,1
2023-01-04,Seek & Destroy,SZA,81,24,3,1
2023-01-04,Hold Me Closer,Elton John & Britney Spears,82,6,18,1
2023-01-04,Que Vuelvas,Carin Leon X Grupo Frontera,83,1,-,1
2023-01-04,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,84,22,4,1
2023-01-04,Spin Bout U,Drake & 21 Savage,85,5,8,1
2023-01-04,Used,SZA Featuring Don Toliver,86,30,3,1
2023-01-04,Romantic Homicide,d4vd,87,33,17,1
2023-01-04,Circo Loco,Drake & 21 Savage,88,8,8,1
2023-01-04,Ghost In The Machine,SZA Featuring Phoebe Bridgers,89,40,3,1
2023-01-04,Down Home,Jimmie Allen,90,88,6,1
2023-01-04,Bebe Dame,Fuerza Regida X Grupo Frontera,91,1,-,1
2023-01-04,Special,SZA,92,37,3,1
2023-01-04,No Se Va,Grupo Frontera,93,12,-,1
2023-01-04,Kid On Christmas,Pentatonix Featuring Meghan Trainor,94,93,2,1
2023-01-04,One Thing At A Time,Morgan Wallen,95,37,4,1
2023-01-04,Pick Me Up,Gabby Barrett,96,19,-,1
2023-01-04,SOS,SZA,97,32,3,1
2023-01-04,Forget Me,Lewis Capaldi,98,7,-,1
2023-01-04,La Jumpa,Arcangel & Bad Bunny,99,2,-,1
2023-01-04,Gone Girl,SZA,100,43,3,1
2023-01-11,Anti-Hero,Taylor Swift,1,1,11,2
2023-01-11,Unholy,Sam Smith & Kim Petras,2,1,15,2
2023-01-11,Kill Bill,SZA,3,3,4,2
2023-01-11,I'm Good (Blue),David Guetta & Bebe Rexha,4,4,19,2
2023-01-11,Rich Flex,Drake & 21 Savage,5,2,9,2
2023-01-11,Creepin',Metro Boomin| The Weeknd & 21 Savage,6,5,5,2
2023-01-11,As It Was,Harry Styles,7,1,40,2
2023-01-11,Die For You,The Weeknd & Ariana Grande,8,8,23,2
2023-01-11,Bad Habit,Steve Lacy,9,1,27,2
2023-01-11,Cuff It,Beyonce,10,10,21,2
2023-01-11,Something In The Orange,Zach Bryan,11,11,37,2
2023-01-11,Made You Look,Meghan Trainor,12,12,11,2
2023-01-11,You Proof,Morgan Wallen,13,5,34,2
2023-01-11,Under The Influence,Chris Brown,14,14,17,2
2023-01-11,Golden Hour,JVKE,15,15,19,2
2023-01-11,Just Wanna Rock,Lil Uzi Vert,16,16,12,2
2023-01-11,Thank God,Kane Brown With Katelyn Brown,17,17,17,2
2023-01-11,Super Freaky Girl,Nicki Minaj,18,1,21,2
2023-01-11,I Like You (A Happier Song),Post Malone Featuring Doja Cat,19,28,-,2
2023-01-11,Rock And A Hard Place,Bailey Zimmerman,20,20,30,2
2023-01-11,Tomorrow 2,GloRilla & Cardi B,21,9,15,2
2023-01-11,Wasted On You,Morgan Wallen,22,57,-,2
2023-01-11,Shirt,SZA,23,11,10,2
2023-01-11,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,24,8,5,2
2023-01-11,Lift Me Up,Rihanna,25,2,10,2
2023-01-11,About Damn Time,Lizzo,26,34,-,2
2023-01-11,Until I Found You,Stephen Sanchez,27,27,27,2
2023-01-11,Wait For U,Future Featuring Drake & Tems,28,33,-,2
2023-01-11,Sunroof,Nicky Youre & dazy,29,28,-,2
2023-01-11,I Ain't Worried,OneRepublic,30,26,-,2
2023-01-11,Going; Going; Gone,Luke Combs,31,31,8,2
2023-01-11,Vegas,Doja Cat,32,27,-,2
2023-01-11,Thought You Should Know,Morgan Wallen,33,21,-,2
2023-01-11,The Kind Of Love We Make,Luke Combs,34,24,-,2
2023-01-11,She Had Me At Heads Carolina,Cole Swindell,35,28,-,2
2023-01-11,Son Of A Sinner,Jelly Roll,36,31,27,2
2023-01-11,Lavender Haze,Taylor Swift,37,2,11,2
2023-01-11,Wait In The Truck,HARDY Featuring Lainey Wilson,38,38,18,2
2023-01-11,Heart Like A Truck,Lainey Wilson,39,39,8,2
2023-01-11,Victoria's Secret,Jax,40,35,23,2
2023-01-11,Unstoppable,Sia,41,21,-,2
2023-01-11,Nobody Gets Me,SZA,42,10,4,2
2023-01-11,Escapism,RAYE Featuring 070 Shake,43,43,5,2
2023-01-11,What My World Spins Around,Jordan Davis,44,41,21,2
2023-01-11,Low,SZA,45,17,4,2
2023-01-11,Calm Down,Rema & Selena Gomez,46,46,18,2
2023-01-11,Whiskey On You,Nate Smith,47,44,29,2
2023-01-11,Fall In Love,Bailey Zimmerman,48,33,-,2
2023-01-11,Jimmy Cooks,Drake Featuring 21 Savage,49,25,-,2
2023-01-11,Bebe Dame,Fuerza Regida X Grupo Frontera,50,50,2,2
2023-01-11,Blind,SZA,51,12,4,2
2023-01-11,Hold Me Closer,Elton John & Britney Spears,52,6,19,2
2023-01-11,Snooze,SZA,53,29,4,2
2023-01-11,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,54,32,15,2
2023-01-11,Hotel Lobby (Unc And Phew),Quavo & Takeoff,55,21,-,2
2023-01-11,Love Language,SZA,56,21,4,2
2023-01-11,Que Vuelvas,Carin Leon X Grupo Frontera,57,57,2,2
2023-01-11,Tennessee Orange,Megan Moroney,58,4,-,2
2023-01-11,Romantic Homicide,d4vd,59,33,18,2
2023-01-11,Gato de Noche,Nengo Flow & Bad Bunny,60,60,2,2
2023-01-11,Down Home,Jimmie Allen,61,61,7,2
2023-01-11,Spin Bout U,Drake & 21 Savage,62,5,9,2
2023-01-11,Pick Me Up,Gabby Barrett,63,63,20,2
2023-01-11,Circo Loco,Drake & 21 Savage,64,8,9,2
2023-01-11,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,65,22,5,2
2023-01-11,Seek & Destroy,SZA,66,24,4,2
2023-01-11,What He Didn't Do,Carly Pearce,67,3,-,2
2023-01-11,Bloody Mary,Lady Gaga,68,1,-,2
2023-01-11,Handle On You,Parker McCollum,69,1,-,2
2023-01-11,No Se Va,Grupo Frontera,70,57,13,2
2023-01-11,Snap,Rosa Linn,71,10,-,2
2023-01-11,Freestyle,Lil Baby,72,14,-,2
2023-01-11,Half Of Me,Thomas Rhett Featuring Riley Green,73,17,-,2
2023-01-11,Forget Me,Lewis Capaldi,74,74,8,2
2023-01-11,Wild As Her,Corey Kent,75,13,-,2
2023-01-11,Used,SZA Featuring Don Toliver,76,30,4,2
2023-01-11,One Thing At A Time,Morgan Wallen,77,37,5,2
2023-01-11,Billie Eilish.,Armani White,78,14,-,2
2023-01-11,Ghost In The Machine,SZA Featuring Phoebe Bridgers,79,40,4,2
2023-01-11,La Jumpa,Arcangel & Bad Bunny,80,68,3,2
2023-01-11,Bejeweled,Taylor Swift,81,8,-,2
2023-01-11,La Bachata,Manuel Turizo,82,16,-,2
2023-01-11,Special,SZA,83,37,4,2
2023-01-11,Heyy,Lil Baby,84,10,-,2
2023-01-11,Open Arms,SZA Featuring Travis Scott,85,3,-,2
2023-01-11,Niagara Falls (Foot Or 2),Metro Boomin| Travis Scott & 21 Savage,86,4,-,2
2023-01-11,The Color Violet,Tory Lanez,87,1,-,2
2023-01-11,Here With Me,d4vd,88,1,-,2
2023-01-11,California Breeze,Lil Baby,89,8,-,2
2023-01-11,SOS,SZA,90,32,4,2
2023-01-11,Love You Better,Future,91,8,-,2
2023-01-11,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,92,6,-,2
2023-01-11,Out In The Middle,Zac Brown Band,93,4,-,2
2023-01-11,Gone Girl,SZA,94,43,4,2
2023-01-11,On BS,Drake & 21 Savage,95,7,-,2
2023-01-11,Shut Up My Moms Calling,Hotel Ugly,96,1,-,2
2023-01-11,Midnight Rain,Taylor Swift,97,8,-,2
2023-01-11,Players,Coi Leray,98,1,-,2
2023-01-11,Major Distribution,Drake & 21 Savage,99,7,-,2
2023-01-11,Notice Me,SZA,100,3,-,2
2023-01-18,Anti-Hero,Taylor Swift,1,1,12,3
2023-01-18,Kill Bill,SZA,2,2,5,3
2023-01-18,Unholy,Sam Smith & Kim Petras,3,1,16,3
2023-01-18,I'm Good (Blue),David Guetta & Bebe Rexha,4,4,20,3
2023-01-18,Creepin',Metro Boomin| The Weeknd & 21 Savage,5,5,6,3
2023-01-18,Die For You,The Weeknd & Ariana Grande,6,6,24,3
2023-01-18,Rich Flex,Drake & 21 Savage,7,2,10,3
2023-01-18,As It Was,Harry Styles,8,1,41,3
2023-01-18,Bad Habit,Steve Lacy,9,1,28,3
2023-01-18,Something In The Orange,Zach Bryan,10,10,38,3
2023-01-18,Golden Hour,JVKE,11,11,20,3
2023-01-18,Under The Influence,Chris Brown,12,12,18,3
2023-01-18,Cuff It,Beyonce,13,10,22,3
2023-01-18,Made You Look,Meghan Trainor,14,12,12,3
2023-01-18,You Proof,Morgan Wallen,15,5,35,3
2023-01-18,Just Wanna Rock,Lil Uzi Vert,16,16,13,3
2023-01-18,Rock And A Hard Place,Bailey Zimmerman,17,17,31,3
2023-01-18,Thank God,Kane Brown With Katelyn Brown,18,17,18,3
2023-01-18,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,19,8,6,3
2023-01-18,Super Freaky Girl,Nicki Minaj,20,1,22,3
2023-01-18,I Like You (A Happier Song),Post Malone Featuring Doja Cat,21,3,29,3
2023-01-18,Shirt,SZA,22,11,11,3
2023-01-18,Until I Found You,Stephen Sanchez,23,23,28,3
2023-01-18,Lift Me Up,Rihanna,24,2,11,3
2023-01-18,Tomorrow 2,GloRilla & Cardi B,25,9,16,3
2023-01-18,Wait For U,Future Featuring Drake & Tems,26,1,34,3
2023-01-18,Thought You Should Know,Morgan Wallen,27,12,22,3
2023-01-18,Escapism,RAYE Featuring 070 Shake,28,28,6,3
2023-01-18,Going; Going; Gone,Luke Combs,29,29,9,3
2023-01-18,Lavender Haze,Taylor Swift,30,2,12,3
2023-01-18,Bebe Dame,Fuerza Regida X Grupo Frontera,31,31,3,3
2023-01-18,Heart Like A Truck,Lainey Wilson,32,32,9,3
2023-01-18,The Kind Of Love We Make,Luke Combs,33,8,25,3
2023-01-18,Nobody Gets Me,SZA,34,10,5,3
2023-01-18,She Had Me At Heads Carolina,Cole Swindell,35,16,29,3
2023-01-18,Sunroof,Nicky Youre & dazy,36,4,29,3
2023-01-18,Wait In The Truck,HARDY Featuring Lainey Wilson,37,37,19,3
2023-01-18,Calm Down,Rema & Selena Gomez,38,38,19,3
2023-01-18,I Ain't Worried,OneRepublic,39,6,27,3
2023-01-18,What My World Spins Around,Jordan Davis,40,40,22,3
2023-01-18,Vegas,Doja Cat,41,10,28,3
2023-01-18,About Damn Time,Lizzo,42,1,35,3
2023-01-18,Son Of A Sinner,Jelly Roll,43,31,28,3
2023-01-18,Unstoppable,Sia,44,28,22,3
2023-01-18,Victoria's Secret,Jax,45,35,24,3
2023-01-18,Low,SZA,46,17,5,3
2023-01-18,Whiskey On You,Nate Smith,47,44,30,3
2023-01-18,Snooze,SZA,48,29,5,3
2023-01-18,Sure Thing,Miguel,49,24,-,3
2023-01-18,Fall In Love,Bailey Zimmerman,50,29,34,3
2023-01-18,Blind,SZA,51,12,5,3
2023-01-18,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,52,32,16,3
2023-01-18,Que Vuelvas,Carin Leon X Grupo Frontera,53,53,3,3
2023-01-18,Hold Me Closer,Elton John & Britney Spears,54,6,20,3
2023-01-18,Hotel Lobby (Unc And Phew),Quavo & Takeoff,55,55,22,3
2023-01-18,Love Language,SZA,56,21,5,3
2023-01-18,Romantic Homicide,d4vd,57,33,19,3
2023-01-18,Tennessee Orange,Megan Moroney,58,58,5,3
2023-01-18,Spin Bout U,Drake & 21 Savage,59,5,10,3
2023-01-18,Pick Me Up,Gabby Barrett,60,60,21,3
2023-01-18,What He Didn't Do,Carly Pearce,61,61,4,3
2023-01-18,Bloody Mary,Lady Gaga,62,62,2,3
2023-01-18,Half Of Me,Thomas Rhett Featuring Riley Green,63,52,18,3
2023-01-18,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,64,22,6,3
2023-01-18,Forget Me,Lewis Capaldi,65,65,9,3
2023-01-18,Circo Loco,Drake & 21 Savage,66,8,10,3
2023-01-18,Handle On You,Parker McCollum,67,67,2,3
2023-01-18,Freestyle,Lil Baby,68,63,15,3
2023-01-18,No Se Va,Grupo Frontera,69,57,14,3
2023-01-18,The Color Violet,Tory Lanez,70,70,2,3
2023-01-18,Wild As Her,Corey Kent,71,71,14,3
2023-01-18,Seek & Destroy,SZA,72,24,5,3
2023-01-18,Down Home,Jimmie Allen,73,61,8,3
2023-01-18,Snap,Rosa Linn,74,71,11,3
2023-01-18,Gato de Noche,Nengo Flow & Bad Bunny,75,60,3,3
2023-01-18,Shut Up My Moms Calling,Hotel Ugly,76,76,2,3
2023-01-18,Here With Me,d4vd,77,77,2,3
2023-01-18,Players,Coi Leray,78,78,2,3
2023-01-18,La Bachata,Manuel Turizo,79,67,17,3
2023-01-18,Ghost In The Machine,SZA Featuring Phoebe Bridgers,80,40,5,3
2023-01-18,La Jumpa,Arcangel & Bad Bunny,81,68,4,3
2023-01-18,One Thing At A Time,Morgan Wallen,82,37,6,3
2023-01-18,Used,SZA Featuring Don Toliver,83,30,5,3
2023-01-18,Open Arms,SZA Featuring Travis Scott,84,54,4,3
2023-01-18,Special,SZA,85,37,5,3
2023-01-18,Heyy,Lil Baby,86,21,11,3
2023-01-18,Out In The Middle,Zac Brown Band,87,86,5,3
2023-01-18,Love You Better,Future,88,12,9,3
2023-01-18,Niagara Falls (Foot Or 2),Metro Boomin| Travis Scott & 21 Savage,89,27,5,3
2023-01-18,California Breeze,Lil Baby,90,4,9,3
2023-01-18,Bejeweled,Taylor Swift,91,6,9,3
2023-01-18,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,92,6,7,3
2023-01-18,Black,YoungBoy Never Broke Again,93,1,-,3
2023-01-18,On BS,Drake & 21 Savage,94,4,8,3
2023-01-18,Miss You,Oliver Tree & Robin Schulz,95,7,-,3
2023-01-18,Ditto,NewJeans,96,1,-,3
2023-01-18,That's What Tequila Does,Jason Aldean,97,1,-,3
2023-01-18,Gone Girl,SZA,98,43,5,3
2023-01-18,SOS,SZA,99,32,5,3
2023-01-18,You Didn't,Brett Young,100,1,-,3
2023-01-25,Flowers,Miley Cyrus,1,1,-,4
2023-01-25,Kill Bill,SZA,2,2,6,4
2023-01-25,Anti-Hero,Taylor Swift,3,1,13,4
2023-01-25,Creepin',Metro Boomin| The Weeknd & 21 Savage,4,4,7,4
2023-01-25,Unholy,Sam Smith & Kim Petras,5,1,17,4
2023-01-25,I'm Good (Blue),David Guetta & Bebe Rexha,6,4,21,4
2023-01-25,Die For You,The Weeknd & Ariana Grande,7,6,25,4
2023-01-25,Rich Flex,Drake & 21 Savage,8,2,11,4
2023-01-25,Bzrp Music Sessions; Vol. 53,Bizarrap & Shakira,9,1,-,4
2023-01-25,As It Was,Harry Styles,10,1,42,4
2023-01-25,Golden Hour,JVKE,11,11,21,4
2023-01-25,Bad Habit,Steve Lacy,12,1,29,4
2023-01-25,Something In The Orange,Zach Bryan,13,10,39,4
2023-01-25,Under The Influence,Chris Brown,14,12,19,4
2023-01-25,Made You Look,Meghan Trainor,15,12,13,4
2023-01-25,Just Wanna Rock,Lil Uzi Vert,16,16,14,4
2023-01-25,Cuff It,Beyonce,17,10,23,4
2023-01-25,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,18,8,7,4
2023-01-25,Thank God,Kane Brown With Katelyn Brown,19,17,19,4
2023-01-25,You Proof,Morgan Wallen,20,5,36,4
2023-01-25,Rock And A Hard Place,Bailey Zimmerman,21,17,32,4
2023-01-25,Escapism,RAYE Featuring 070 Shake,22,22,7,4
2023-01-25,Shirt,SZA,23,11,12,4
2023-01-25,I Like You (A Happier Song),Post Malone Featuring Doja Cat,24,3,30,4
2023-01-25,Bebe Dame,Fuerza Regida X Grupo Frontera,25,25,4,4
2023-01-25,Going; Going; Gone,Luke Combs,26,26,10,4
2023-01-25,Wait For U,Future Featuring Drake & Tems,27,1,35,4
2023-01-25,Until I Found You,Stephen Sanchez,28,23,29,4
2023-01-25,Super Freaky Girl,Nicki Minaj,29,1,23,4
2023-01-25,Tomorrow 2,GloRilla & Cardi B,30,9,17,4
2023-01-25,Thought You Should Know,Morgan Wallen,31,12,23,4
2023-01-25,Snooze,SZA,32,29,6,4
2023-01-25,Heart Like A Truck,Lainey Wilson,33,32,10,4
2023-01-25,Lavender Haze,Taylor Swift,34,2,13,4
2023-01-25,Calm Down,Rema & Selena Gomez,35,35,20,4
2023-01-25,Nobody Gets Me,SZA,36,10,6,4
2023-01-25,Wait In The Truck,HARDY Featuring Lainey Wilson,37,37,20,4
2023-01-25,The Kind Of Love We Make,Luke Combs,38,8,26,4
2023-01-25,Lift Me Up,Rihanna,39,2,12,4
2023-01-25,What My World Spins Around,Jordan Davis,40,40,23,4
2023-01-25,Sunroof,Nicky Youre & dazy,41,4,30,4
2023-01-25,Sure Thing,Miguel,42,36,25,4
2023-01-25,Unstoppable,Sia,43,28,23,4
2023-01-25,She Had Me At Heads Carolina,Cole Swindell,44,16,30,4
2023-01-25,I Ain't Worried,OneRepublic,45,6,28,4
2023-01-25,Low,SZA,46,17,6,4
2023-01-25,Victoria's Secret,Jax,47,35,25,4
2023-01-25,Vegas,Doja Cat,48,10,29,4
2023-01-25,About Damn Time,Lizzo,49,1,36,4
2023-01-25,Que Vuelvas,Carin Leon X Grupo Frontera,50,50,4,4
2023-01-25,Whiskey On You,Nate Smith,51,44,31,4
2023-01-25,Blind,SZA,52,12,6,4
2023-01-25,Tennessee Orange,Megan Moroney,53,53,6,4
2023-01-25,Players,Coi Leray,54,54,3,4
2023-01-25,Pick Me Up,Gabby Barrett,55,55,22,4
2023-01-25,On Wat U On,Moneybagg Yo x GloRilla,56,1,-,4
2023-01-25,Bloody Mary,Lady Gaga,57,57,3,4
2023-01-25,Handle On You,Parker McCollum,58,58,3,4
2023-01-25,Romantic Homicide,d4vd,59,33,20,4
2023-01-25,What He Didn't Do,Carly Pearce,60,60,5,4
2023-01-25,Love Language,SZA,61,21,6,4
2023-01-25,No Se Va,Grupo Frontera,62,57,15,4
2023-01-25,Forget Me,Lewis Capaldi,63,63,10,4
2023-01-25,Spin Bout U,Drake & 21 Savage,64,5,11,4
2023-01-25,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,65,32,17,4
2023-01-25,Here With Me,d4vd,66,66,3,4
2023-01-25,Snap,Rosa Linn,67,67,12,4
2023-01-25,Shut Up My Moms Calling,Hotel Ugly,68,68,3,4
2023-01-25,Freestyle,Lil Baby,69,63,16,4
2023-01-25,Wild As Her,Corey Kent,70,70,15,4
2023-01-25,The Color Violet,Tory Lanez,71,70,3,4
2023-01-25,La Bachata,Manuel Turizo,72,67,18,4
2023-01-25,Half Of Me,Thomas Rhett Featuring Riley Green,73,52,19,4
2023-01-25,Circo Loco,Drake & 21 Savage,74,8,11,4
2023-01-25,Nonsense,Sabrina Carpenter,75,1,-,4
2023-01-25,Vibe,TAEYANG Featuring Jimin,76,1,-,4
2023-01-25,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,77,22,7,4
2023-01-25,La Jumpa,Arcangel & Bad Bunny,78,68,5,4
2023-01-25,Love You Better,Future,79,12,10,4
2023-01-25,Gato de Noche,Nengo Flow & Bad Bunny,80,60,4,4
2023-01-25,Seek & Destroy,SZA,81,24,6,4
2023-01-25,One Thing At A Time,Morgan Wallen,82,37,7,4
2023-01-25,Monotonia,Shakira + Ozuna,83,3,-,4
2023-01-25,Ghost In The Machine,SZA Featuring Phoebe Bridgers,84,40,6,4
2023-01-25,Ditto,NewJeans,85,85,2,4
2023-01-25,Down Home,Jimmie Allen,86,61,9,4
2023-01-25,Heyy,Lil Baby,87,21,12,4
2023-01-25,Out In The Middle,Zac Brown Band,88,86,6,4
2023-01-25,Open Arms,SZA Featuring Travis Scott,89,54,5,4
2023-01-25,Niagara Falls (Foot Or 2),Metro Boomin| Travis Scott & 21 Savage,90,27,6,4
2023-01-25,OMG,NewJeans,91,1,-,4
2023-01-25,That's What Tequila Does,Jason Aldean,92,92,2,4
2023-01-25,Used,SZA Featuring Don Toliver,93,30,6,4
2023-01-25,Human,Cody Johnson,94,1,-,4
2023-01-25,Special,SZA,95,37,6,4
2023-01-25,Miss You,Oliver Tree & Robin Schulz,96,84,8,4
2023-01-25,California Breeze,Lil Baby,97,4,10,4
2023-01-25,Heart To Heart,Mac DeMarco,98,1,-,4
2023-01-25,You Didn't,Brett Young,99,99,2,4
2023-01-25,King Snipe,Gucci Mane & Kodak Black,100,1,-,4
2023-02-01,Flowers,Miley Cyrus,1,1,2,5
2023-02-01,Kill Bill,SZA,2,2,7,5
2023-02-01,Anti-Hero,Taylor Swift,3,1,14,5
2023-02-01,Creepin',Metro Boomin| The Weeknd & 21 Savage,4,4,8,5
2023-02-01,Unholy,Sam Smith & Kim Petras,5,1,18,5
2023-02-01,I'm Good (Blue),David Guetta & Bebe Rexha,6,4,22,5
2023-02-01,Die For You,The Weeknd & Ariana Grande,7,6,26,5
2023-02-01,Rich Flex,Drake & 21 Savage,8,2,12,5
2023-02-01,As It Was,Harry Styles,9,1,43,5
2023-02-01,Golden Hour,JVKE,10,10,22,5
2023-02-01,Something In The Orange,Zach Bryan,11,10,40,5
2023-02-01,Just Wanna Rock,Lil Uzi Vert,12,12,15,5
2023-02-01,Bzrp Music Sessions; Vol. 53,Bizarrap & Shakira,13,9,2,5
2023-02-01,Made You Look,Meghan Trainor,14,12,14,5
2023-02-01,Cuff It,Beyonce,15,10,24,5
2023-02-01,Under The Influence,Chris Brown,16,12,20,5
2023-02-01,Bad Habit,Steve Lacy,17,1,30,5
2023-02-01,Thank God,Kane Brown With Katelyn Brown,18,17,20,5
2023-02-01,Rock And A Hard Place,Bailey Zimmerman,19,17,33,5
2023-02-01,You Proof,Morgan Wallen,20,5,37,5
2023-02-01,Superhero (Heroes & Villains),Metro Boomin| Future & Chris Brown,21,8,8,5
2023-02-01,Escapism,RAYE Featuring 070 Shake,22,22,8,5
