track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",896,0,160845341,77,B,Major,81,68,58,83,0,11,34,https://i.scdn.co/image/ab67616d0000b273e44e304f52a82a3463ce5761,2022-05-25
Only Love Can Hurt Like This,Paloma Faith,5148,0,588955257,91,G#,Major,57,30,89,10,0,33,8,https://i.scdn.co/image/ab67616d0000b273c4576f635253db511bb43789,2014-01-01
Hold My Hand,Lady Gaga,2528,0,238350348,148,G,Major,51,21,63,5,0,41,3,https://i.scdn.co/image/ab67616d0000b273b7e7edfee5626b7b1f15192a,2022-05-03
Daydreaming,Harry Styles,1900,1,187703102,114,E,Minor,71,90,81,31,2,13,3,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2022-05-20
Numb,"Marshmello, Khalid",3879,2,295307001,120,Unknown,Minor,91,63,77,12,1,10,5,https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5,2022-06-10
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",896,0,138334433,92,F#,Major,83,56,82,10,0,9,5,Not Found,2022-06-02
Me and Your Mama,Childish Gambino,8775,0,445590495,118,F,Major,56,25,45,1,3,7,3,https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea,2016-11-10
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",5290,0,286739476,123,E,Minor,60,46,71,3,0,16,4,https://i.scdn.co/image/ab67616d0000b273ef4ed3c74eb9eac3754b60d2,2022-03-18
SLOW DANCING IN THE DARK,Joji,10211,0,1122364376,89,D#,Major,52,28,48,54,1,19,3,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-09-12
Antes de Perderte,Duki,584,8,157136970,110,F,Minor,81,61,93,49,0,12,11,https://i.scdn.co/image/ab67616d0000b273e63232b00577a053120ca08f,2022-06-02
Boyfriends,Harry Styles,1517,0,137070925,118,Unknown,Major,42,32,20,94,0,11,4,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2022-05-20
295,Sidhu Moose Wala,246,4,183273246,90,B,Minor,68,54,76,21,0,11,20,https://i.scdn.co/image/ab67616d0000b2731d1cc2e40d533d7bcebf5dae,2021-05-15
Tak Ingin Usai,Keisya Levronka,220,4,184807630,130,Unknown,Major,49,14,40,82,0,11,3,https://i.scdn.co/image/ab67616d0000b2738fa475b368164ab5eebe1a8d,2022-05-13
En El Radio Un Cochinero,Victor Cibrian,514,0,164856284,154,F#,Minor,70,97,62,47,0,10,4,https://i.scdn.co/image/ab67616d0000b273665cfd5826ac132eb42262d3,2022-05-13
