track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",553,147,141381703,125,B,Major,80,89,83,31,0,8,4,Not Found,2023-07-14
LALA,Myke Towers,1474,48,133716286,92,C#,Major,71,61,74,7,0,10,4,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,2023-03-23
vampire,Olivia Rodrigo,1397,113,140003974,138,F,Major,51,32,53,17,0,31,6,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,2023-06-30
Cruel Summer,Taylor Swift,7858,100,800840817,170,A,Major,55,58,72,11,0,11,15,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23
WHERE SHE GOES,Bad Bunny,3133,50,303236322,144,A,Minor,65,23,80,14,63,11,6,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,2023-05-18
Sprinter,"Dave, Central Cee",2186,91,183706234,141,C#,Major,92,66,58,19,0,8,24,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,2023-06-01
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090,50,725980112,148,F,Minor,67,83,76,48,0,8,3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,2023-03-16
Columbia,Quevedo,714,43,58149378,100,F,Major,67,26,71,37,0,11,4,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,2023-07-07
fukumean,Gunna,1096,83,95217315,130,C#,Minor,85,22,62,12,0,28,9,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,2023-05-15
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2953,44,553634067,170,D,Minor,81,56,48,21,0,8,33,Not Found,2023-03-17
un x100to,"Bad Bunny, Grupo Frontera",2876,40,505671438,83,F#,Minor,57,56,72,23,0,27,5,Not Found,2023-04-17
Super Shy,NewJeans,422,55,58255150,150,F,Minor,78,52,82,18,0,15,7,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
Flowers,Miley Cyrus,12211,115,1316855716,118,Unknown,Major,71,65,68,6,0,3,7,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,2023-01-12
Daylight,David Kushner,3528,98,387570742,130,D,Minor,51,32,43,83,0,9,3,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,2023-04-14
As It Was,Harry Styles,23575,130,2513188493,174,F#,Minor,52,66,73,34,0,31,6,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,2022-03-31
Kill Bill,SZA,8109,77,1163093654,89,G#,Major,64,43,73,5,17,16,4,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08
Cupid - Twin Ver.,Fifty Fifty,2942,77,496795686,120,B,Minor,78,76,59,43,0,34,3,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,2023-02-24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,873,104,30546883,78,Unknown,Major,44,14,9,96,0,10,3,Not Found,2023-07-13
Classy 101,"Feid, Young Miko",2610,40,335222234,100,B,Major,86,67,66,14,0,12,16,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,2023-03-31
Like Crazy,Jimin,596,68,363369738,120,G,Major,63,36,73,0,0,36,4,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332,26,86444842,140,F,Minor,65,87,74,22,0,42,4,Not Found,2023-06-22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The,Taylor Swift,516,38,52135248,123,F#,Major,69,82,76,6,0,6,3,Not Found,2023-07-07
I Wanna Be Yours,Arctic Monkeys,12859,110,1297026226,135,Unknown,Minor,48,44,42,12,2,11,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-01-01
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",1313,40,200647221,133,F,Minor,85,81,67,26,0,12,5,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,2023-05-31
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",1945,87,115364561,99,C#,Major,85,83,68,7,0,36,20,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02
SABOR FRESA,Fuerza Regida,250,26,78300654,130,G,Minor,79,96,86,9,0,9,9,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9,2023-06-22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",7112,77,899183384,107,B,Major,80,82,80,43,0,14,4,Not Found,2022-03-25
MOJABI GHOST,"Tainy, Bad Bunny",859,40,61245289,122,F#,Minor,81,74,71,14,0,56,4,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,2023-06-29
Last Night,Morgan Wallen,2420,19,429829812,204,F#,Major,52,52,68,46,0,15,4,https://i.scdn.co/image/ab67616d0000b273fc1df8423733f6f3c9e8dea2,2023-01-31
Dance The Night (From Barbie The Album),Dua Lipa,2988,101,127408954,110,B,Minor,67,78,85,2,0,33,5,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192,2023-05-25
Rush,Troye Sivan,864,78,22581161,126,F,Minor,74,35,84,0,0,11,6,https://i.scdn.co/image/ab67616d0000b273a4ffb2049ffce92bdae5f559,2023-07-13
TULUM,"Peso Pluma, Grupo Frontera",266,34,52294266,168,F#,Major,56,63,87,39,0,11,5,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,2023-06-28
Creepin',"The Weeknd, 21 Savage, Metro Boomin",6036,88,843957510,98,C#,Minor,71,17,61,36,0,8,5,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,2022-12-02
Anti-Hero,Taylor Swift,9082,56,999748277,97,E,Major,64,51,63,12,0,19,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
TQG,"Karol G, Shakira",4284,49,618990393,180,E,Minor,72,61,63,67,0,9,28,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,31,123122413,120,Unknown,Major,81,63,68,11,0,11,4,Not Found,2023-06-01
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",672,34,188933502,150,F#,Major,61,39,73,37,0,11,3,Not Found,2023-04-07
Blank Space,Taylor Swift,11434,53,1355959075,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-01-01
Style,Taylor Swift,7830,42,786181836,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,2014-01-01
TQM,Fuerza Regida,584,28,176553476,125,F,Minor,79,96,85,27,0,11,6,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,2023-05-19
El Azul,"Junior H, Peso Pluma",692,25,354495408,144,A,Minor,56,84,65,23,0,10,6,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,2023-02-10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",24094,78,2808096550,90,D,Major,76,91,50,54,0,7,5,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-10-09
I'm Good (Blue),"Bebe Rexha, David Guetta",12482,80,1109433169,128,G,Minor,56,38,97,4,0,35,4,Not Found,2022-08-26
See You Again,"Tyler, The Creator, Kali Uchis",13387,64,1047101291,79,F#,Major,56,58,56,37,0,11,10,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,2017-07-21
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",1117,80,65156199,144,Unknown,Major,77,75,58,52,0,23,25,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,2023-06-23
Angels Like You,Miley Cyrus,3372,19,570515054,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,2020-11-27
I Ain't Worried,OneRepublic,8431,76,1085685420,140,Unknown,Major,71,82,81,11,0,6,5,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,2022-05-13
Die For You,The Weeknd,2483,59,1647990401,134,C#,Minor,59,51,52,9,0,15,7,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
Starboy,"The Weeknd, Daft Punk",29536,79,2565529693,186,G,Major,68,49,59,16,0,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-09-21
Die For You - Remix,"Ariana Grande, The Weeknd",3408,47,518745108,67,C#,Minor,53,50,53,23,0,44,7,Not Found,2023-02-24
El Cielo,"Feid, Myke Towers, Sky Rompiendo",1298,38,107753850,106,A#,Minor,72,17,64,7,0,10,5,Not Found,2023-06-02
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",4277,66,177740666,128,G,Major,60,23,91,0,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,2023-04-06
AMARGURA,Karol G,1133,39,153372011,107,F#,Minor,92,55,70,18,0,15,7,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-24
(It Goes Like) Nanana - Edit,Peggy Gou,2259,59,57876440,130,G,Minor,67,96,88,12,19,8,4,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,2023-06-15
Another Love,Tom Odell,18371,83,1813673666,123,E,Minor,45,13,54,70,0,9,4,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,2012-10-15
Blinding Lights,The Weeknd,43899,69,3703895074,171,C#,Major,50,38,80,0,0,9,7,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2019-11-29
Moonlight,Kali Uchis,2649,42,256483385,137,G,Minor,64,88,72,51,0,17,5,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,2023-02-24
La Bachata,Manuel Turizo,6804,45,1214083358,125,G,Minor,84,85,68,58,0,22,4,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,2022-05-26
S91,Karol G,525,41,16011326,128,Unknown,Minor,86,42,72,59,0,9,19,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,2023-07-14
cardigan,Taylor Swift,7923,29,812019557,130,Unknown,Minor,61,53,58,55,0,27,4,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,2020-07-24
Tï¿½ï¿,"dennis, MC Kevin o Chris",731,15,111947664,130,B,Major,86,59,96,50,1,9,5,Not Found,2023-05-04
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",5184,41,156338624,133,F,Major,70,86,81,25,0,25,5,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,2023-02-03
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3107,39,720434240,101,D,Major,88,72,59,62,0,9,3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,2022-06-24
BESO,"Rauw Alejandro, ROSALï¿½",4053,50,357925728,95,F,Minor,77,53,64,74,0,17,14,Not Found,2023-03-24
Hey Mor,"Ozuna, Feid",4637,38,674072710,98,C#,Minor,90,40,59,0,0,10,29,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,2022-10-06
Yellow,Chris Molitor,31358,43,1755214421,173,B,Major,43,28,66,0,0,23,3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,1999-01-01
Karma,Taylor Swift,3818,23,404562836,90,G#,Major,64,10,62,7,0,48,7,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
People,Libianca,3506,56,373199958,198,A#,Minor,59,71,42,55,0,10,7,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,2022-12-02
Overdrive,Post Malone,410,36,14780425,140,C#,Major,56,48,73,0,0,35,4,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,2023-07-14
Enchanted (Taylor's Version),Taylor Swift,148,24,39578178,82,G#,Major,51,22,53,1,0,15,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,2023-07-07
BABY HELLO,"Rauw Alejandro, Bizarrap",1004,35,54266102,130,C#,Minor,77,84,89,17,0,43,5,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,2023-06-23
Heat Waves,Glass Animals,22543,63,2557975762,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,2020-06-28
golden hour,JVKE,4511,36,751134527,94,C#,Minor,51,14,59,65,18,25,3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,2022-07-15
Sweater Weather,The Neighbourhood,16413,61,2282771485,124,A#,Major,61,41,81,5,2,10,3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,2012-05-14
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",8506,45,1356565093,128,D,Major,62,55,78,1,3,23,4,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,2022-07-06
Viva La Vida,Coldplay,33898,62,1592909789,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,2008-01-01
Here With Me,d4vd,3246,23,635412045,132,E,Major,58,27,48,50,0,12,3,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,2022-07-17
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",8576,42,1230675890,131,D,Major,71,24,47,1,0,27,9,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,2022-09-22
Yandel 150,"Yandel, Feid",3618,38,585695368,168,F#,Minor,78,58,73,5,0,10,7,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,2022-12-20
CORAZï¿½ï¿½N VA,Maria Becerra,370,20,43857627,98,C#,Major,68,40,79,33,0,30,6,Not Found,2023-06-22
Riptide,Vance Joy,31123,55,2009094673,102,C#,Major,48,50,73,43,0,15,4,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,1975-01-01
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2790,30,600976848,101,A#,Major,34,32,57,78,0,20,3,Not Found,2022-04-22
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",267,9,39709092,130,F,Major,63,36,34,76,0,35,9,Not Found,2023-06-23
Back To December (Taylor's Version),Taylor Swift,139,17,39228929,142,D,Major,50,20,64,1,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,2023-07-07
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",17050,36,2665343922,170,C#,Major,59,48,76,4,0,10,5,Not Found,2021-07-09
El Merengue,"Marshmello, Manuel Turizo",2114,44,223633238,124,G#,Minor,78,70,68,3,1,11,4,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,2023-03-03
Someone You Loved,Lewis Capaldi,17836,53,2887241814,110,C#,Major,50,45,41,75,0,11,3,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,2018-11-08
Me Porto Bonito,"Chencho Corleone, Bad Bunny",8870,43,1440757818,92,C#,Minor,91,43,71,9,0,9,8,Not Found,2022-05-06
Makeba,Jain,6060,53,165484133,116,D,Major,82,40,66,39,51,25,7,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,2015-06-22
MONTAGEM - FR PUNK,"Ayparia, unxbected",641,50,58054811,129,A,Major,63,84,82,70,8,9,7,Not Found,2012-06-20
Fast Car,Luke Combs,1446,12,157058870,98,G#,Major,71,67,60,19,0,12,3,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,2023-03-24
What It Is (Solo Version),Doechii,804,25,95131998,172,C#,Minor,74,76,76,6,0,10,9,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,2023-03-17
Coco Chanel,"Bad Bunny, Eladio Carrion",1962,38,250305248,150,D,Major,68,14,76,4,0,10,4,Not Found,2023-03-17
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,4875,23,685032533,136,A,Minor,62,19,53,11,0,6,4,Not Found,2017-11-08
Still With You,Jung Kook,31,39,38411956,88,C#,Minor,53,34,47,9,0,83,4,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,2020-06-05
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2175,23,144565150,143,D#,Major,83,69,44,15,0,10,33,Not Found,2023-05-12
Say Yes To Heaven,Lana Del Rey,2000,46,127567540,100,F#,Minor,49,17,35,71,9,11,3,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,2023-03-17
Snooze,SZA,2839,25,399686758,143,F,Major,56,39,55,14,0,11,13,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
Summertime Sadness,Lana Del Rey,20333,52,983637508,112,C#,Minor,56,24,66,7,0,12,3,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,2011-01-01
Take Two,BTS,674,47,118482347,93,G,Major,62,57,59,3,0,38,3,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,2023-06-09
Lover,Taylor Swift,8448,23,882831184,206,G,Major,43,50,55,50,0,15,10,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2012-01-01
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2110,58,286400165,88,G,Minor,68,17,71,15,0,11,5,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,2022-12-02
Chemical,Post Malone,2528,39,172825906,170,D,Major,50,37,90,0,0,12,5,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,2023-04-14
Mockingbird,Eminem,12985,61,1241559043,84,E,Minor,62,24,67,21,0,13,28,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,2004-01-01
New Jeans,NewJeans,77,35,29562220,134,E,Minor,81,53,72,51,0,12,5,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
Primera Cita,Carin Leon,266,27,77309611,158,A#,Major,54,50,40,61,0,10,6,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd,2022-04-20
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",21097,52,1605224506,116,C#,Major,80,92,80,4,0,10,3,Not Found,2017-11-10
Dandelions,Ruth B.,3423,21,1116995633,117,C#,Major,61,45,69,2,0,9,3,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,2017-04-28
Bones,Imagine Dragons,4198,44,838079900,114,F,Minor,77,65,72,2,0,7,5,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,2021-03-11
Set Fire to the Rain,Adele,14739,43,1163620694,108,D,Minor,61,47,68,0,0,13,3,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,2011-01-01
Money Trees,"Kendrick Lamar, Jay Rock",26792,32,1093605526,144,E,Minor,74,37,53,7,0,21,10,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,2012-01-01
Tak Segampang Itu,Anggi Marito,213,6,179659294,130,F,Major,51,18,44,76,0,11,3,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,2022-12-02
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",58,18,39058561,116,B,Major,77,79,62,33,1,15,3,Not Found,2023-06-22
Mine (Taylor's Version),Taylor Swift,99,15,36912123,121,G,Major,65,49,78,0,0,17,4,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,2023-07-07
Everybody Wants To Rule The World,Tears For Fears,41751,25,1205951614,112,G,Major,64,54,81,36,0,11,6,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,1985-02-17
No Role Modelz,J. Cole,21164,36,1791000570,100,A#,Minor,70,47,52,30,0,6,33,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,2014-12-09
Tattoo,Loreen,2988,59,201660859,150,D#,Minor,55,30,78,24,0,12,8,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,2023-02-25
Rara Vez,"Taiu, Milo j",893,38,248088961,120,F,Minor,84,96,71,18,0,34,17,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,2023-02-08
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1094,34,90839753,127,B,Minor,82,89,85,4,0,23,6,Not Found,2023-05-12
august,Taylor Swift,7324,22,607123776,90,F,Major,51,42,61,53,0,9,3,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,2020-07-24
LUNA,"Junior H, Peso Pluma",201,11,55842345,128,A,Minor,75,79,63,33,0,15,4,Not Found,2023-06-22
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",5120,48,211050784,143,A,Major,64,31,87,4,4,8,4,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,2023-03-10
Nonsense,Sabrina Carpenter,2346,27,342897938,139,G#,Major,74,68,68,3,0,26,4,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,2022-07-15
Que Vuelvas,"Carin Leon, Grupo Frontera",763,26,2762,162,A#,Major,49,78,64,19,0,11,4,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,2022-12-09
Por las Noches,Peso Pluma,457,24,330346424,92,Unknown,Major,81,39,60,31,0,7,3,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c,2021-06-11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,3430,38,601863821,95,F,Major,87,57,55,10,0,29,7,Not Found,2022-08-19
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",6074,52,1953533826,146,D,Major,63,88,93,3,0,10,8,Not Found,2011-08-16
Watermelon Sugar,Harry Styles,21915,34,2322580122,95,Unknown,Major,55,56,82,12,0,34,5,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2019-11-17
lovely - Bonus Track,"Billie Eilish, Khalid",15032,30,2355719893,115,E,Minor,35,12,30,93,0,10,3,Not Found,2017-08-11
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",871,32,66902503,128,B,Major,78,59,65,10,0,26,5,Not Found,2023-06-21
Queencard,(G)I-DLE,451,33,96273746,130,E,Minor,82,69,83,3,0,27,5,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,2023-05-15
OMG,NewJeans,1783,27,430977451,127,A,Minor,80,74,77,36,0,11,4,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,2023-01-02
Radio,Lana Del Rey,9389,46,284819874,150,D,Major,42,20,86,21,0,9,9,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,2011-01-01
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",5724,44,721975598,122,D,Minor,78,50,63,27,0,9,5,Not Found,2023-01-11
505,Arctic Monkeys,13985,25,1217120710,140,Unknown,Major,52,20,85,0,0,7,5,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,2007-04-20
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",1051,16,109276132,140,Unknown,Major,63,22,54,46,0,12,8,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,2023-06-02
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",1682,46,276259178,119,C#,Minor,75,48,53,18,0,18,34,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,2022-12-02
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",182,8,54225632,110,G,Minor,76,96,72,32,0,9,4,Not Found,2023-05-22
Perfect,Ed Sheeran,16596,13,2559529074,95,G#,Major,60,17,45,16,0,11,2,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,2017-01-01
Romantic Homicide,d4vd,2335,23,681583126,132,F#,Major,56,20,55,45,1,32,3,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,2022-07-20
Believer,Imagine Dragons,18986,23,2594040133,125,A#,Minor,77,74,78,4,0,23,11,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,2017-01-31
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",283,7,81102253,124,D#,Minor,84,65,50,67,0,13,6,Not Found,2023-05-19
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",293,8,11956641,133,B,Minor,93,68,65,42,0,12,25,https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776,2023-06-01
Without Me,Eminem,21081,43,1687664027,112,G,Major,92,67,66,0,0,36,9,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,2002-01-01
QUEMA,"Sog, Ryan Castro, Peso Pluma",437,31,11599388,97,Unknown,Major,79,92,89,5,0,6,5,Not Found,2023-07-13
Stargirl Interlude,"The Weeknd, Lana Del Rey",1275,32,611700552,90,F,Minor,59,52,48,38,5,10,11,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",6135,38,1133865788,80,D#,Minor,65,27,69,8,0,53,4,Not Found,2022-05-06
Somewhere Only We Know,Keane,20015,16,1089402494,172,A,Major,45,33,59,6,0,8,3,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490,2004-01-01
Those Eyes,New West,1507,14,411747614,120,E,Major,60,24,35,73,0,31,3,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41,2019-05-10
El Gordo Trae El Mando,Chino Pacas,539,21,255932395,140,G,Minor,74,96,80,18,0,5,5,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36,2023-01-27
Mi Bello Angel,Natanael Cano,86,8,31873544,128,A,Minor,81,90,77,1,0,9,5,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970,2023-06-30
Bye,Peso Pluma,324,14,95053634,122,Unknown,Major,78,70,81,57,0,10,5,https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d,2023-05-26
Danza Kuduro,"Don Omar, Lucenzo",17138,37,1279434863,130,Unknown,Major,47,86,92,8,0,5,24,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,2010-01-01
